板块,公司全称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地      区,省    份,城     市,所属行业
主板,平安银行股份有限公司,广东省深圳市罗湖区深南东路5047号,1,平安银行,1991/4/3,19405918198,19405752081,华南,广东,深圳市,金融业
主板,万科企业股份有限公司,广东省深圳市盐田区大梅沙环梅路33号万科中心,2,万  科Ａ,1991/1/29,9724196533,9714314935,华南,广东,深圳市,房地产
主板,深圳国华网安科技股份有限公司,广东省深圳市福田区梅林街道梅都社区中康路126号卓越梅林中心广场（南区）卓悦汇B2206A,4,国华网安,1990/12/1,165052625,83920684,华南,广东,深圳市,信息技术
主板,深圳世纪星源股份有限公司,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,5,世纪星源,1990/12/10,1058536842,1057946242,华南,广东,深圳市,公共环保
主板,深圳市振业(集团)股份有限公司,广东省深圳市罗湖区宝安南路2014号振业大厦A座31层,6,深振业Ａ,1992/4/27,1349995046,1349995046,华南,广东,深圳市,房地产
主板,深圳市全新好股份有限公司,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,7,全新好,1992/4/13,346448044,308948044,华南,广东,深圳市,房地产
主板,神州高铁技术股份有限公司,北京市海淀区高梁桥斜街59号院1号楼16层1606,8,神州高铁,1992/5/7,2780795346,2665216688,华北,北京,北京市,制造业
主板,中国宝安集团股份有限公司,广东省深圳市笋岗东路1002号宝安广场A座28-29层,9,中国宝安,1991/6/25,2579213965,2551430324,华南,广东,深圳市,综合
主板,深圳美丽生态股份有限公司,广东省深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B座17层1701-1703室,10,美丽生态,1995/10/27,819854713,522171498,华南,广东,深圳市,建筑业
主板,深圳市物业发展(集团)股份有限公司,广东省深圳市人民南路国贸大厦39、42层,11,深物业A,1992/3/30,528373849,526475543,华南,广东,深圳市,房地产
主板,中国南玻集团股份有限公司,广东省深圳市蛇口工业六路一号南玻大厦,12,南  玻Ａ,1992/2/28,1961323047,1957999069,华南,广东,深圳市,制造业
主板,沙河实业股份有限公司,广东省深圳市南山区白石路2222号沙河世纪楼,14,沙河股份,1992/6/2,201705187,201705187,华南,广东,深圳市,房地产
主板,康佳集团股份有限公司,广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,16,深康佳Ａ,1992/3/27,1596593800,1596574300,华南,广东,深圳市,制造业
主板,深圳中华自行车(集团)股份有限公司,广东省深圳市布心路3008号,17,*ST中华A,1992/3/31,302984965,302981008,华南,广东,深圳市,制造业
主板,深圳市深粮控股股份有限公司,广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层,19,深粮控股,1992/10/12,1100785974,416184832,华南,广东,深圳市,批发零售
主板,深圳中恒华发股份有限公司,广东省深圳市福田区华发北路411幢,20,深华发Ａ,1992/4/28,181165391,181165391,华南,广东,深圳市,制造业
主板,深圳长城开发科技股份有限公司,广东省深圳市福田区彩田路7006号,21,深科技,1994/2/2,1471259363,1470677676,华南,广东,深圳市,制造业
主板,深圳市天地(集团)股份有限公司,广东省深圳市高新技术产业园北区朗山路东物商业大楼10楼,23,深天地Ａ,1993/4/29,138756240,138748665,华南,广东,深圳市,制造业
主板,深圳市特力(集团)股份有限公司,广东省深圳市深南中路中核大厦,25,特  力Ａ,1993/6/21,392778320,392778320,华南,广东,深圳市,批发零售
主板,飞亚达精密科技股份有限公司,广东省深圳市南山区高新南一道飞亚达科技大厦,26,飞亚达,1993/6/3,361173881,356716368,华南,广东,深圳市,批发零售
主板,深圳能源集团股份有限公司,广东省深圳市福田区金田路2026号能源大厦北塔楼9，29-31，34-41层,27,深圳能源,1993/9/3,4757389916,4757389916,华南,广东,深圳市,水电煤气
主板,国药集团一致药业股份有限公司,广东省深圳市福田区八卦四路15号一致药业大楼,28,国药一致,1993/8/9,373241383,367733625,华南,广东,深圳市,批发零售
主板,深圳经济特区房地产(集团)股份有限公司,广东省深圳市罗湖区人民南路深房广场45-48楼,29,深深房Ａ,1993/9/15,891660000,891651000,华南,广东,深圳市,房地产
主板,富奥汽车零部件股份有限公司,吉林省长春市汽车经济技术开发区东风南街777号,30,富奥股份,1993/9/29,1762733196,1759880870,东北,吉林,长春市,制造业
主板,大悦城控股集团股份有限公司,广东省深圳市宝安区新安街道3区龙井二路3号中粮地产集团中心第1层101室,31,大悦城,1993/10/8,4286313339,1813722958,华南,广东,深圳市,房地产
主板,深圳市桑达实业股份有限公司,广东省深圳市南山区科技园科技路1号桑达科技大厦15-17楼,32,深桑达Ａ,1993/10/28,413219661,411424109,华南,广东,深圳市,批发零售
