板块,公司全称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地      区,省    份,城     市,所属行业
主板,平安银行股份有限公司,广东省深圳市罗湖区深南东路5047号,1,平安银行,1991/4/3,"19,405,918,198","19,405,752,081",华南,广东,深圳市,J 金融业
主板,万科企业股份有限公司,广东省深圳市盐田区大梅沙环梅路33号万科中心,2,万  科Ａ,1991/1/29,"9,724,196,533","9,714,314,935",华南,广东,深圳市,K 房地产
主板,深圳国华网安科技股份有限公司,广东省深圳市福田区梅林街道梅都社区中康路126号卓越梅林中心广场（南区）卓悦汇B2206A,4,国华网安,1990/12/1,"165,052,625","83,920,684",华南,广东,深圳市,I 信息技术
主板,深圳世纪星源股份有限公司,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,5,世纪星源,1990/12/10,"1,058,536,842","1,057,946,242",华南,广东,深圳市,N 公共环保
主板,深圳市振业(集团)股份有限公司,广东省深圳市罗湖区宝安南路2014号振业大厦A座31层,6,深振业Ａ,1992/4/27,"1,349,995,046","1,349,995,046",华南,广东,深圳市,K 房地产
主板,深圳市全新好股份有限公司,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,7,全新好,1992/4/13,"346,448,044","308,948,044",华南,广东,深圳市,K 房地产
主板,神州高铁技术股份有限公司,北京市海淀区高梁桥斜街59号院1号楼16层1606,8,神州高铁,1992/5/7,"2,780,795,346","2,665,216,688",华北,北京,北京市,C 制造业
主板,中国宝安集团股份有限公司,广东省深圳市笋岗东路1002号宝安广场A座28-29层,9,中国宝安,1991/6/25,"2,579,213,965","2,551,430,324",华南,广东,深圳市,S 综合
主板,深圳美丽生态股份有限公司,广东省深圳市宝安区新安街道海旺社区宝兴路6号海纳百川总部大厦B座17层1701-1703室,10,美丽生态,1995/10/27,"819,854,713","522,171,498",华南,广东,深圳市,E 建筑业
主板,深圳市物业发展(集团)股份有限公司,广东省深圳市人民南路国贸大厦39、42层,11,深物业A,1992/3/30,"528,373,849","526,475,543",华南,广东,深圳市,K 房地产
主板,中国南玻集团股份有限公司,广东省深圳市蛇口工业六路一号南玻大厦,12,南  玻Ａ,1992/2/28,"1,961,323,047","1,957,999,069",华南,广东,深圳市,C 制造业
主板,沙河实业股份有限公司,广东省深圳市南山区白石路2222号沙河世纪楼,14,沙河股份,1992/6/2,"201,705,187","201,705,187",华南,广东,深圳市,K 房地产
主板,康佳集团股份有限公司,广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,16,深康佳Ａ,1992/3/27,"1,596,593,800","1,596,574,300",华南,广东,深圳市,C 制造业
主板,深圳中华自行车(集团)股份有限公司,广东省深圳市布心路3008号,17,*ST中华A,1992/3/31,"302,984,965","302,981,008",华南,广东,深圳市,C 制造业
主板,深圳市深粮控股股份有限公司,广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层,19,深粮控股,1992/10/12,"1,100,785,974","416,184,832",华南,广东,深圳市,F 批发零售
主板,深圳中恒华发股份有限公司,广东省深圳市福田区华发北路411幢,20,深华发Ａ,1992/4/28,"181,165,391","181,165,391",华南,广东,深圳市,C 制造业
主板,深圳长城开发科技股份有限公司,广东省深圳市福田区彩田路7006号,21,深科技,1994/2/2,"1,471,259,363","1,470,677,676",华南,广东,深圳市,C 制造业
主板,深圳市天地(集团)股份有限公司,广东省深圳市高新技术产业园北区朗山路东物商业大楼10楼,23,深天地Ａ,1993/4/29,"138,756,240","138,748,665",华南,广东,深圳市,C 制造业
主板,深圳市特力(集团)股份有限公司,广东省深圳市深南中路中核大厦,25,特  力Ａ,1993/6/21,"392,778,320","392,778,320",华南,广东,深圳市,F 批发零售
主板,飞亚达精密科技股份有限公司,广东省深圳市南山区高新南一道飞亚达科技大厦,26,飞亚达,1993/6/3,"361,173,881","356,716,368",华南,广东,深圳市,F 批发零售
主板,深圳能源集团股份有限公司,广东省深圳市福田区金田路2026号能源大厦北塔楼9，29-31，34-41层,27,深圳能源,1993/9/3,"4,757,389,916","4,757,389,916",华南,广东,深圳市,D 水电煤气
主板,国药集团一致药业股份有限公司,广东省深圳市福田区八卦四路15号一致药业大楼,28,国药一致,1993/8/9,"373,241,383","367,733,625",华南,广东,深圳市,F 批发零售
主板,深圳经济特区房地产(集团)股份有限公司,广东省深圳市罗湖区人民南路深房广场45-48楼,29,深深房Ａ,1993/9/15,"891,660,000","891,651,000",华南,广东,深圳市,K 房地产
主板,富奥汽车零部件股份有限公司,吉林省长春市汽车经济技术开发区东风南街777号,30,富奥股份,1993/9/29,"1,762,733,196","1,759,880,870",东北,吉林,长春市,C 制造业
主板,大悦城控股集团股份有限公司,广东省深圳市宝安区新安街道3区龙井二路3号中粮地产集团中心第1层101室,31,大悦城,1993/10/8,"4,286,313,339","1,813,722,958",华南,广东,深圳市,K 房地产
主板,深圳市桑达实业股份有限公司,广东省深圳市南山区科技园科技路1号桑达科技大厦15-17楼,32,深桑达Ａ,1993/10/28,"413,219,661","411,424,109",华南,广东,深圳市,F 批发零售
主板,神州数码集团股份有限公司,广东省深圳市南山区粤海街道科发路8号金融基地1栋11楼E1,34,神州数码,1994/5/9,"659,539,627","497,403,624",华南,广东,深圳市,F 批发零售
主板,中国天楹股份有限公司,江苏省海安市黄海大道(西)268号2幢,35,中国天楹,1994/4/8,"2,523,777,297","2,453,345,376",华东,江苏,南通市,N 公共环保
主板,华联控股股份有限公司,广东省深圳市深南中路2008号华联大厦11层(1103-1109室),36,华联控股,1994/6/17,"1,483,934,025","1,479,474,430",华南,广东,深圳市,K 房地产
主板,深圳南山热电股份有限公司,广东省深圳市南山区月亮湾大道2097号,37,深南电A,1994/7/1,"338,908,150","338,894,011",华南,广东,深圳市,D 水电煤气
主板,深圳大通实业股份有限公司,广东省深圳市南山区科苑中路15号科兴科学园B2栋302室,38,深大通,1994/8/8,"522,777,419","238,177,966",华南,广东,深圳市,L 商务服务
主板,中国国际海运集装箱(集团)股份有限公司,广东省深圳市南山蛇口工业区港湾大道2号中集研发中心8楼,39,中集集团,1994/4/8,"1,535,121,660","1,534,271,428",华南,广东,深圳市,C 制造业
主板,东旭蓝天新能源股份有限公司,广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼,40,东旭蓝天,1994/8/8,"1,486,873,870","1,060,340,670",华南,广东,深圳市,D 水电煤气
主板,深圳市中洲投资控股股份有限公司,广东省深圳市福田区金田路3088号中洲大厦38楼,42,中洲控股,1994/9/21,"664,831,139","662,103,039",华南,广东,深圳市,K 房地产
主板,深圳市纺织(集团)股份有限公司,广东省深圳市福田区华强北路3号深纺大厦6楼,45,深纺织Ａ,1994/8/15,"458,272,279","457,017,874",华南,广东,深圳市,C 制造业
主板,泛海控股股份有限公司,北京市东城区建国门内大街28号民生金融中心C座22层,46,泛海控股,1994/9/12,"5,196,200,656","5,193,833,956",华北,北京,北京市,J 金融业
主板,深圳市京基智农时代股份有限公司,广东省深圳市罗湖区深南东路5016号京基一百大厦A座71层7101,48,京基智农,1994/11/1,"402,491,731","402,407,651",华南,广东,深圳市,C 制造业
主板,深圳市德赛电池科技股份有限公司,广东省深圳市南山区高新科技园南区高新南一道德赛科技大厦26楼,49,德赛电池,1995/3/20,"207,197,738","205,243,738",华南,广东,深圳市,C 制造业
主板,天马微电子股份有限公司,广东省深圳市龙华区民治街道北站社区留仙大道天马大厦1918,50,深天马Ａ,1995/3/15,"2,457,747,661","1,828,920,459",华南,广东,深圳市,C 制造业
主板,方大集团股份有限公司,广东省深圳市南山区高新技术产业园南区科技南十二路方大科技大厦,55,方大集团,1996/4/15,"679,715,472","677,413,379",华南,广东,深圳市,C 制造业
主板,深圳市皇庭国际企业股份有限公司,广东省深圳市福田区福田街道岗厦社区福华路350号岗厦皇庭大厦28A01单元,56,皇庭国际,1996/7/8,"931,293,708","903,728,783",华南,广东,深圳市,L 商务服务
主板,深圳赛格股份有限公司,广东省深圳市福田区华强北路群星广场A座三十一楼,58,深 赛 格,1996/12/26,"989,194,931","538,282,117",华南,广东,深圳市,L 商务服务
主板,北方华锦化学工业股份有限公司,辽宁省盘锦市双台子区红旗大街,59,华锦股份,1997/1/30,"1,599,442,537","1,599,409,531",东北,辽宁,盘锦市,C 制造业
主板,深圳市中金岭南有色金属股份有限公司,广东省深圳市罗湖区清水河街道清水河一路深业进元大厦塔楼2座303C房,60,中金岭南,1997/1/23,"3,569,685,327","3,568,385,943",华南,广东,深圳市,C 制造业
主板,深圳市农产品集团股份有限公司,广东省深圳市罗湖区布吉路1019号农产品批发市场第一层,61,农 产 品,1997/1/10,"1,696,964,131","1,696,600,695",华南,广东,深圳市,L 商务服务
主板,深圳华强实业股份有限公司,广东省深圳市福田区华强北路华强广场A座5楼,62,深圳华强,1997/1/30,"1,045,909,322","1,044,553,288",华南,广东,深圳市,F 批发零售
主板,中兴通讯股份有限公司,广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,63,中兴通讯,1997/11/18,"3,857,932,364","3,476,253,800",华南,广东,深圳市,C 制造业
主板,北方国际合作股份有限公司,北京市丰台区南四环西路188号总部基地12区47号楼3层(301、302),65,北方国际,1998/6/5,"769,516,228","673,092,642",华北,北京,北京市,E 建筑业
主板,中国长城科技集团股份有限公司,广东省深圳南山区科技工业园长城计算机大厦,66,中国长城,1997/6/26,"2,928,182,053","2,927,833,543",华南,广东,深圳市,C 制造业
主板,深圳华控赛格股份有限公司,广东省深圳市大工业区兰竹大道以北CH3主厂房,68,华控赛格,1997/6/11,"1,006,671,464","1,006,668,464",华南,广东,深圳市,M 科研服务
主板,深圳华侨城股份有限公司,广东省深圳市南山区华侨城,69,华侨城Ａ,1997/9/10,"8,201,793,915","7,056,298,141",华南,广东,深圳市,K 房地产
主板,深圳市特发信息股份有限公司,广东省深圳市南山区高新区中区科丰路2号特发信息港大厦B栋18楼,70,特发信息,2000/5/11,"816,578,166","795,243,815",华南,广东,深圳市,C 制造业
主板,深圳市海王生物工程股份有限公司,广东省深圳市南山区科技园科技中三路1号海王银河科技大厦24楼,78,海王生物,1998/12/18,"2,750,833,257","2,621,199,543",华南,广东,深圳市,F 批发零售
主板,深圳市盐田港股份有限公司,广东省深圳市盐田区盐田港海港大厦18-19层,88,盐 田 港,1997/7/28,"2,249,161,747","2,249,161,747",华南,广东,深圳市,G 运输仓储
主板,深圳市机场股份有限公司,广东省深圳市宝安区宝安机场T3商务区配套写字楼A栋,89,深圳机场,1998/4/20,"2,050,769,509","2,050,769,509",华南,广东,深圳市,G 运输仓储
主板,深圳市天健(集团)股份有限公司,广东省深圳市福田区红荔西路莲花街道7019号天健商务大厦19楼,90,天健集团,1999/7/21,"1,868,545,434","1,868,287,589",华南,广东,深圳市,E 建筑业
主板,深圳市广聚能源股份有限公司,广东省深圳市南山区海德三道天利中央商务广场22楼,96,广聚能源,2000/7/24,"528,000,000","510,848,000",华南,广东,深圳市,F 批发零售
主板,中信海洋直升机股份有限公司,广东省深圳市罗湖区解放西路188号,99,中信海直,2000/7/31,"606,070,420","606,070,420",华南,广东,深圳市,G 运输仓储
主板,TCL科技集团股份有限公司,广东省惠州市仲恺高新区惠风三路17号TCL科技大厦,100,TCL科技,2004/1/30,"14,030,788,362","12,656,210,284",华南,广东,惠州市,C 制造业
主板,宜华健康医疗股份有限公司,广东省汕头市澄海区文冠路北侧,150,宜华健康,2000/8/7,"877,697,557","805,990,242",华南,广东,汕头市,Q 卫生
主板,中成进出口股份有限公司,北京市丰台区南四环西路188号二区8号楼,151,中成股份,2000/9/6,"295,980,000","266,543,967",华北,北京,北京市,F 批发零售
主板,安徽丰原药业股份有限公司,安徽省无为县北门外大街108号,153,丰原药业,2000/9/20,"312,141,230","311,977,230",华东,安徽,芜湖市,C 制造业
主板,四川省新能源动力股份有限公司,四川省成都市青白江区大弯镇团结路311号,155,川能动力,2000/9/26,"1,270,000,000","1,270,000,000",西南,四川,成都市,D 水电煤气
主板,华数传媒控股股份有限公司,浙江省杭州市滨江区江南大道3850号创新大厦15楼1505室,156,华数传媒,2000/9/6,"1,433,351,902","1,280,295,337",华东,浙江,杭州市,R 文化传播
主板,中联重科股份有限公司,湖南省长沙市银盆南路361号,157,中联重科,2000/10/12,"6,544,676,264","6,470,810,823",华中,湖南,长沙市,C 制造业
主板,石家庄常山北明科技股份有限公司,河北省石家庄市和平东路183号,158,常山北明,2000/7/24,"1,598,616,721","1,573,483,915",华北,河北,石家庄市,I 信息技术
主板,新疆国际实业股份有限公司,新疆维吾尔自治区乌鲁木齐市高新区北京南路358号大成国际9楼,159,国际实业,2000/9/26,"480,685,993","480,651,118",西北,新疆,乌鲁木齐市,F 批发零售
主板,申万宏源集团股份有限公司,新疆乌鲁木齐市高新区北京南路358号大成国际大厦20楼2001室,166,申万宏源,2015/1/26,"22,535,944,560","22,535,507,316",西北,新疆,乌鲁木齐市,J 金融业
主板,江苏东方盛虹股份有限公司,江苏省苏州市吴江区盛泽镇市场东路73号,301,东方盛虹,2000/5/29,"4,834,863,866","1,260,827,682",华东,江苏,苏州市,C 制造业
主板,美的集团股份有限公司,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼B区26-28楼,333,美的集团,2013/9/18,"7,029,556,437","6,846,708,806",华南,广东,佛山市,C 制造业
主板,潍柴动力股份有限公司,山东省潍坊市高新技术产业开发区福寿东街197号甲,338,潍柴动力,2007/4/30,"5,990,833,895","4,244,315,825",华东,山东,潍坊市,C 制造业
主板,许继电气股份有限公司,河南省许昌市许继大道1298号,400,许继电气,1997/4/18,"1,008,327,309","1,008,270,140",华中,河南,许昌市,C 制造业
主板,唐山冀东水泥股份有限公司,河北省唐山市丰润区林荫路,401,冀东水泥,1996/6/14,"1,347,522,914","1,347,207,180",华北,河北,唐山市,C 制造业
主板,金融街控股股份有限公司,北京市西城区金城坊街7号,402,金 融 街,1996/6/26,"2,988,929,907","2,987,636,046",华北,北京,北京市,K 房地产
主板,南方双林生物制药股份有限公司,山西省太原市晋源区长兴南街8号阳光城环球金融中心3004室,403,双林生物,1996/6/28,"492,434,666","487,162,900",华北,山西,太原市,C 制造业
主板,长虹华意压缩机股份有限公司,江西省景德镇市高新区长虹大道1号,404,长虹华意,1996/6/19,"695,995,979","694,652,798",华东,江西,景德镇市,C 制造业
